row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
527,2030,Latin America-Caribbean,Cayman Islands,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,70000
528,2030,Sub-Saharan Africa,Central African Rep.,5700000,600000,60000,         <10000,         <10000,60000,         <10000,         <10000,6430000
529,2030,Sub-Saharan Africa,Chad,7750000,10280000,410000,         <10000,         <10000,250000,30000,         <10000,18720000
530,2030,Europe,Channel Islands,130000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,150000
531,2030,Latin America-Caribbean,Chile,17110000,20000,2070000,         <10000,10000,280000,40000,30000,19550000
532,2030,Asia-Pacific,China,73460000,30820000,720430000,30000,256440000,305930000,9680000,         <10000,1396800000
533,2030,Latin America-Caribbean,Colombia,52310000,10000,3920000,         <10000,         <10000,480000,50000,         <10000,56780000
534,2030,Sub-Saharan Africa,Comoros,         <10000,1190000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,1210000
535,2030,Sub-Saharan Africa,Congo,5580000,70000,500000,         <10000,         <10000,170000,60000,         <10000,6390000
536,2030,Sub-Saharan Africa,Dem. Rep. Congo,101410000,1700000,1820000,60000,         <10000,780000,140000,         <10000,105910000
537,2030,Asia-Pacific,Cook Islands,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
538,2030,Latin America-Caribbean,Costa Rica,5220000,         <10000,470000,         <10000,         <10000,50000,20000,         <10000,5760000
539,2030,Sub-Saharan Africa,Côte d'Ivoire,12730000,10890000,2460000,         <10000,20000,3230000,50000,         <10000,29380000
540,2030,Europe,Croatia,3880000,70000,200000,         <10000,         <10000,         <10000,         <10000,         <10000,4150000
541,2030,Latin America-Caribbean,Cuba,6420000,         <10000,2550000,20000,         <10000,1960000,         <10000,         <10000,10970000
542,2030,Asia-Pacific,Cyprus,930000,330000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,1310000
543,2030,Europe,Czech Rep.,2000000,40000,8270000,         <10000,30000,40000,         <10000,         <10000,10400000
544,2030,Europe,Denmark,4660000,360000,670000,30000,30000,         <10000,         <10000,         <10000,5760000
545,2030,Sub-Saharan Africa,Djibouti,30000,1200000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1240000
546,2030,Latin America-Caribbean,Dominica,70000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,80000
547,2030,Latin America-Caribbean,Dominican Rep.,10930000,         <10000,1340000,         <10000,         <10000,110000,10000,         <10000,12400000
548,2030,Latin America-Caribbean,Ecuador,17030000,         <10000,1030000,         <10000,         <10000,50000,         <10000,         <10000,18140000
549,2030,Middle East-North Africa,Egypt,4620000,102090000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,106720000
550,2030,Latin America-Caribbean,El Salvador,6090000,         <10000,780000,         <10000,         <10000,30000,20000,         <10000,6920000
551,2030,Sub-Saharan Africa,Eq. Guinea,910000,40000,50000,         <10000,         <10000,20000,         <10000,         <10000,1030000
552,2030,Sub-Saharan Africa,Eritrea,5160000,3000000,10000,         <10000,         <10000,30000,         <10000,         <10000,8200000
553,2030,Europe,Estonia,470000,         <10000,720000,         <10000,         <10000,         <10000,         <10000,         <10000,1200000
554,2030,Sub-Saharan Africa,Ethiopia,71940000,44210000,80000,         <10000,         <10000,2360000,10000,         <10000,118600000
555,2030,Europe,Faeroe Islands,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
556,2030,Latin America-Caribbean,Falkland Is.,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
557,2030,Asia-Pacific,Fiji,690000,70000,         <10000,300000,         <10000,         <10000,         <10000,         <10000,1080000
558,2030,Europe,Finland,4230000,110000,1220000,         <10000,10000,         <10000,         <10000,         <10000,5580000
559,2030,Europe,France,35640000,6100000,24200000,50000,350000,280000,120000,350000,67090000
560,2030,Latin America-Caribbean,French Guiana,280000,         <10000,10000,         <10000,         <10000,30000,         <10000,         <10000,340000
561,2030,Asia-Pacific,French Polynesia,300000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,320000
562,2030,Sub-Saharan Africa,Gabon,1660000,300000,130000,         <10000,         <10000,130000,20000,         <10000,2240000
563,2030,Sub-Saharan Africa,Gambia,120000,2980000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,3120000
564,2030,Europe,Georgia,3470000,500000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,4000000
565,2030,Europe,Germany,49610000,6120000,21460000,80000,240000,40000,100000,210000,77870000
566,2030,Sub-Saharan Africa,Ghana,26320000,6930000,1350000,20000,         <10000,1940000,50000,         <10000,36610000
567,2030,Europe,Gibraltar,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
568,2030,Europe,Greece,9510000,710000,660000,20000,         <10000,10000,10000,         <10000,10930000
569,2030,North America,Greenland,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
570,2030,Latin America-Caribbean,Grenada,130000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,130000
571,2030,Latin America-Caribbean,Guadeloupe,490000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,510000
572,2030,Asia-Pacific,Guam,210000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,220000
573,2030,Latin America-Caribbean,Guatemala,21250000,         <10000,850000,         <10000,         <10000,140000,20000,         <10000,22270000
574,2030,Sub-Saharan Africa,Guinea,1680000,13510000,290000,         <10000,10000,420000,         <10000,         <10000,15920000
575,2030,Sub-Saharan Africa,Guinea-Bissau,400000,1040000,100000,         <10000,         <10000,670000,         <10000,         <10000,2210000
576,2030,Latin America-Caribbean,Guyana,660000,60000,20000,210000,         <10000,         <10000,         <10000,         <10000,950000
577,2030,Latin America-Caribbean,Haiti,11220000,         <10000,1400000,         <10000,         <10000,260000,40000,         <10000,12920000
578,2030,Europe,Vatican City,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
579,2030,Latin America-Caribbean,Honduras,9140000,20000,1070000,         <10000,10000,120000,70000,         <10000,10430000
580,2030,Asia-Pacific,Hong Kong,1240000,190000,4150000,40000,1040000,1030000,110000,         <10000,7800000
581,2030,Europe,Hungary,7250000,20000,2040000,         <10000,         <10000,         <10000,         <10000,         <10000,9330000
582,2030,Europe,Iceland,350000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,380000
583,2030,Asia-Pacific,India,35670000,248960000,910000,1191510000,10770000,7120000,28600000,         <10000,1523550000
584,2030,Asia-Pacific,Indonesia,29620000,245020000,250000,4300000,1810000,740000,390000,         <10000,282130000
585,2030,Asia-Pacific,Iran,90000,84540000,90000,20000,         <10000,         <10000,140000,         <10000,84870000
586,2030,Middle East-North Africa,Iraq,380000,53220000,60000,         <10000,         <10000,         <10000,20000,         <10000,53690000
587,2030,Europe,Ireland,4940000,110000,530000,20000,20000,10000,         <10000,         <10000,5650000
588,2030,Europe,Isle of Man,80000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,90000
589,2030,Middle East-North Africa,Israel,200000,2120000,300000,         <10000,20000,30000,10000,7000000,9680000
590,2030,Europe,Italy,46370000,3640000,8600000,190000,180000,110000,60000,50000,59190000
591,2030,Latin America-Caribbean,Jamaica,2360000,         <10000,520000,         <10000,         <10000,140000,30000,         <10000,3060000
592,2030,Asia-Pacific,Japan,2320000,240000,75560000,50000,36100000,540000,5080000,         <10000,119890000
593,2030,Middle East-North Africa,Jordan,190000,8790000,10000,10000,40000,         <10000,         <10000,         <10000,9060000
594,2030,Asia-Pacific,Kazakhstan,4140000,14190000,710000,         <10000,70000,90000,30000,         <10000,19240000
595,2030,Sub-Saharan Africa,Kenya,55270000,7640000,1530000,70000,         <10000,900000,650000,         <10000,66070000
596,2030,Asia-Pacific,Kiribati,130000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,130000
597,2030,Europe,Kosovo,100000,1840000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1940000
598,2030,Middle East-North Africa,Kuwait,500000,2700000,         <10000,410000,250000,         <10000,         <10000,         <10000,3880000
599,2030,Asia-Pacific,Kyrgyzstan,620000,6280000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,6940000
600,2030,Asia-Pacific,Lao PDR,120000,         <10000,70000,         <10000,5030000,2870000,60000,         <10000,8170000
601,2030,Europe,Latvia,1060000,         <10000,920000,         <10000,         <10000,         <10000,         <10000,         <10000,1990000
602,2030,Middle East-North Africa,Lebanon,1830000,2920000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,4780000
603,2030,Sub-Saharan Africa,Lesotho,2450000,         <10000,70000,         <10000,         <10000,         <10000,         <10000,         <10000,2530000
604,2030,Sub-Saharan Africa,Liberia,5680000,780000,90000,         <10000,         <10000,50000,         <10000,         <10000,6610000
605,2030,Middle East-North Africa,Libya,220000,7860000,10000,         <10000,30000,         <10000,         <10000,         <10000,8140000
606,2030,Europe,Liechtenstein,40000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
607,2030,Europe,Lithuania,2640000,         <10000,280000,         <10000,         <10000,         <10000,         <10000,         <10000,2930000
608,2030,Europe,Luxembourg,370000,10000,140000,         <10000,         <10000,         <10000,         <10000,         <10000,530000
609,2030,Asia-Pacific,Macau,40000,         <10000,90000,         <10000,100000,340000,         <10000,         <10000,580000
610,2030,Europe,Republic of Macedonia,970000,910000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,1910000
611,2030,Sub-Saharan Africa,Madagascar,29750000,1110000,2730000,20000,         <10000,1700000,30000,         <10000,35360000
612,2030,Sub-Saharan Africa,Malawi,23660000,3640000,470000,20000,         <10000,460000,20000,         <10000,28260000
613,2030,Asia-Pacific,Malaysia,3590000,26050000,210000,2110000,5270000,810000,40000,         <10000,38070000
614,2030,Asia-Pacific,Maldives,         <10000,380000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,380000
615,2030,Sub-Saharan Africa,Mali,630000,25600000,150000,         <10000,         <10000,810000,         <10000,         <10000,27200000
616,2030,Europe,Malta,400000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,410000
617,2030,Asia-Pacific,Marshall Islands,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
618,2030,Latin America-Caribbean,Martinique,410000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,430000
619,2030,Sub-Saharan Africa,Mauritania,10000,5260000,         <10000,         <10000,         <10000,30000,         <10000,         <10000,5310000
620,2030,Sub-Saharan Africa,Mauritius,440000,230000,10000,650000,         <10000,         <10000,         <10000,         <10000,1340000
621,2030,Sub-Saharan Africa,Mayotte,         <10000,340000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,340000
622,2030,Latin America-Caribbean,Mexico,125980000,         <10000,9070000,         <10000,10000,80000,20000,90000,135260000
623,2030,Asia-Pacific,Federated States of Micronesia,150000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,160000
624,2030,Europe,Moldova,3000000,30000,40000,         <10000,         <10000,         <10000,         <10000,10000,3080000
625,2030,Europe,Monaco,40000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
626,2030,Asia-Pacific,Mongolia,80000,130000,1300000,         <10000,1900000,120000,         <10000,         <10000,3530000
627,2030,Europe,Montenegro,480000,140000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,640000
628,2030,Latin America-Caribbean,Montserrat,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
629,2030,Middle East-North Africa,Morocco,20000,38090000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,38110000
630,2030,Sub-Saharan Africa,Mozambique,20800000,5830000,6080000,20000,         <10000,2740000,         <10000,         <10000,35480000
631,2030,Asia-Pacific,Burma (Myanmar),4270000,2430000,270000,930000,43620000,3120000,100000,         <10000,54740000
632,2030,Sub-Saharan Africa,Namibia,2940000,         <10000,60000,         <10000,         <10000,         <10000,         <10000,         <10000,3020000
633,2030,Asia-Pacific,Nauru,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,10000
634,2030,Asia-Pacific,Nepal,190000,2250000,100000,32630000,3930000,1470000,30000,         <10000,40590000
635,2030,Europe,Netherlands,7700000,1330000,7980000,110000,60000,40000,40000,30000,17290000
636,2030,Asia-Pacific,New Caledonia,250000,         <10000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,290000
637,2030,Asia-Pacific,New Zealand,2600000,100000,2190000,150000,100000,30000,50000,10000,5220000
638,2030,Latin America-Caribbean,Nicaragua,6300000,         <10000,1000000,         <10000,         <10000,100000,10000,         <10000,7410000
639,2030,Sub-Saharan Africa,Niger,300000,30150000,230000,         <10000,         <10000,30000,         <10000,         <10000,30720000
640,2030,Sub-Saharan Africa,Nigeria,114920000,139580000,930000,         <10000,20000,4150000,120000,         <10000,259720000
641,2030,Asia-Pacific,Niue,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
642,2030,Asia-Pacific,Dem. Rep. Korea,520000,         <10000,18660000,         <10000,400000,3230000,3370000,         <10000,26180000
643,2030,Asia-Pacific,Northern Mariana Islands,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
644,2030,Europe,Norway,4320000,330000,700000,40000,60000,         <10000,10000,         <10000,5460000
645,2030,Middle East-North Africa,Oman,240000,3350000,10000,220000,20000,         <10000,30000,         <10000,3890000
646,2030,Asia-Pacific,Pakistan,3680000,230390000,30000,4670000,30000,40000,30000,         <10000,238870000
647,2030,Asia-Pacific,Palau,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
648,2030,Middle East-North Africa,Palestinian territories,120000,6730000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,6860000
649,2030,Latin America-Caribbean,Panama,4110000,30000,230000,         <10000,         <10000,20000,20000,20000,4450000
650,2030,Asia-Pacific,Papua New Guinea,10090000,         <10000,         <10000,         <10000,         <10000,50000,20000,         <10000,10170000
651,2030,Latin America-Caribbean,Paraguay,8440000,         <10000,100000,         <10000,         <10000,150000,20000,         <10000,8720000
652,2030,Latin America-Caribbean,Peru,34420000,         <10000,1140000,         <10000,60000,360000,120000,         <10000,36100000
653,2030,Asia-Pacific,Philippines,117980000,7480000,120000,         <10000,120000,2060000,200000,         <10000,127960000
654,2030,Europe,Poland,33550000,40000,3330000,         <10000,         <10000,         <10000,         <10000,10000,36960000
655,2030,Europe,Portugal,8810000,60000,940000,         <10000,20000,30000,         <10000,         <10000,9880000
656,2030,Latin America-Caribbean,Puerto Rico,3610000,         <10000,90000,         <10000,10000,30000,         <10000,         <10000,3760000
657,2030,Middle East-North Africa,Qatar,380000,1820000,20000,480000,110000,10000,10000,         <10000,2820000
658,2030,Sub-Saharan Africa,Reunion,880000,40000,20000,50000,         <10000,         <10000,10000,         <10000,1010000
659,2030,Europe,Romania,19070000,80000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,19180000
660,2030,Europe,Russia,97330000,17650000,18670000,80000,170000,290000,10000,170000,134370000
661,2030,Sub-Saharan Africa,Rwanda,16600000,440000,540000,         <10000,         <10000,100000,30000,         <10000,17730000
662,2030,Sub-Saharan Africa,St. Helena,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
663,2030,Latin America-Caribbean,St. Kitts and Nevis,60000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
664,2030,Latin America-Caribbean,St. Lucia,190000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,210000
665,2030,North America,St. Pierre and Miquelon,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000
666,2030,Latin America-Caribbean,St. Vincent and the Grenadines,110000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,130000
667,2030,Asia-Pacific,Samoa,260000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,270000
668,2030,Europe,San Marino,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
669,2030,Sub-Saharan Africa,Sao Tome and Principe,200000,         <10000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,250000
670,2030,Middle East-North Africa,Saudi Arabia,1620000,35450000,230000,550000,150000,100000,80000,         <10000,38190000
671,2030,Sub-Saharan Africa,Senegal,600000,19330000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,19950000
672,2030,Europe,Serbia,6530000,430000,240000,         <10000,         <10000,         <10000,         <10000,         <10000,7210000
673,2030,Sub-Saharan Africa,Seychelles,90000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
674,2030,Sub-Saharan Africa,Sierra Leone,1680000,6730000,10000,         <10000,         <10000,70000,         <10000,         <10000,8500000
675,2030,Asia-Pacific,Singapore,1170000,1190000,1110000,520000,2040000,170000,490000,         <10000,6690000
676,2030,Europe,Slovakia,4550000,20000,940000,         <10000,         <10000,         <10000,         <10000,         <10000,5550000
677,2030,Europe,Slovenia,1480000,80000,370000,         <10000,         <10000,         <10000,         <10000,         <10000,1940000
678,2030,Asia-Pacific,Solomon Is.,820000,         <10000,         <10000,         <10000,         <10000,10000,         <10000,         <10000,840000
