skill,group,synonym,skill source,
good communications,soft skills,communications,,
google adwords,domain,,coursera skill,
google analytics,domain,,"dou, coursera skill",
google bigquery,big data,,,
google cloud,se,,,
google cloud platform,se,google cloud,"dou, coursera skill",
gossip,se,,,
gossip protocol,se,,,
gradient boosting,data science,,coursera skill,
gradient descent,data science,,coursera skill,
gradle,se,,,
graph database,databases,,coursera skill,
graph theory,math,,coursera skill,
graphql,se,,,
hacklang,se,,,
hadoop,big data,,,
haskell,se,,,
hbase,big data,,,
hdfs,big data,,,
hdinsight,cloud,azure,,
health care,domain,,coursera skill,
health informatics,domain,,coursera skill,
heroku,se,,,
hierarchical clustering,data science,,coursera skill,
hive,big data,,"dou, coursera skill",
hpc,se,,,
html,se,,"dou, coursera skill",
http,se,,,
http apis,se,,,
hybrid infrastructure,se,,,
hyperparameter optimization,data science,,coursera skill,
hypothesis test,data analytics,hypothesis testing,"dou, coursera skill",
ibm,se,,,
image processing,cv,,coursera skill,
image segmentation,cv,,coursera skill,
influencing,soft skills,,coursera skill,
information theory,math,,coursera skill,
infrastructure,se,,,
internet of things,se,,coursera skill,
interpretation,soft skills,,coursera skill,
intuition,soft skills,,coursera skill,
io,se,,,
ios,se,,,
iot,se,,,
iphone,se,ios,,
java,se,,,
javascript,se,,"dou, coursera skill",
jdbc,se,,,
jenkins,se,,,
jfrog,se,,,
jira,management,,,
jquery,se,,,
js,se,,,
json,data science,,coursera skill,
julia,se,,coursera skill,
junit,se,,,
jvm,se,,,
k-means clustering,data science,,coursera skill,
kafka,se,,,
kaggle,data science,,coursera skill,
kanban,management,,,
keras,deep learning,,"dou, coursera skill",
kerberos,se,,,
kiss,soft skills,,,
knime,data analytics,,coursera skill,
knitr,data analytics,,coursera skill,
kotlin,se,,middle of list,
kotlin coroutines,se,,,
kubeflow,devops,,,
kubernetes,se,,,
lambda,se,,,
leadership,soft skills,,"dou, coursera skill",
less,se,,,
linear regression,data science,,coursera skill,
linguistics,nlp,,coursera skill,
linux,se,,,
livy,se,,,
livy knowledge,se,livy,,
logging,se,,,
logistic regression,data science,,coursera skill,
long short-term memory,deep learning,lstm,coursera skill,
loves problems,soft skills,,,
loyalty,soft skills,,,
lstm,deep learning,,,
lwc,,,,
machine learn,data science,machine learning,,
machine learning,data science,,"dou, coursera skill",
machine translation,nlp,,coursera skill,
management experience,soft skills,,,
management general,soft skills,management experience,,
management skilled,soft skills,management experience,,
mapreduce,se,,"dou, coursera skill",
marketing,domain,,coursera skill,
markov chain,math,,coursera skill,
markov chain monte carlo,math,,coursera skill,
markov decision process,math,,coursera skill,
markov networks,math,,coursera skill,
master degree,education,,,
math,math,,,
mathematical,math,math,,
mathematics,math,math,"dou, coursera skill",
matlab,data analytics,,"dou, coursera skill",
matplotlib,data science,,"dou, coursera skill",
maven,se,,,
mechanical engineering,domain,,coursera skill,
mechatronics,domain,,coursera skill,
media market,domain,,coursera skill,
medical diagnosis,domain,,coursera skill,
medical genetics,domain,,coursera skill,
medical imaging,domain,,coursera skill,
memsql,se,,,
merkle,,algorithms,,
merkle trees,,algorithms,,
mesos,se,apache,,
mesos similar,se,apache,,
message broker,se,,,
microservices,se,microsoft,,
microsoft,se,,,
microsoft azure,cloud,azure,"dou, coursera skill",
microsoft excel,data analytics,excel,coursera skill,
microsoft offices,se,microsoft,,
missing data,data science,,coursera skill,
ml,data science,machine learning,,
mlflow,data science,,,
mobile,se,,,
model optimization,data science,,coursera skill,
model selection,data science,,coursera skill,
molecular biology,domain,,coursera skill,
monad transformers,se,,,
mongodb,databases,,"dou, coursera skill",
monte carlo,math,,coursera skill,
motivation,soft skills,,,
ms,education,master degree,,
msc,education,master degree,,
msc degree,education,master degree,,
multiclass classification,data science,,coursera skill,
multitask,soft skills,,,
mxnet,devops,,,framework
mysql,databases,,"dou, coursera skill",
n-gram,nlp,,coursera skill,
naive bayes,data science,naive bayes classifier,"dou, coursera skill",
natural language,nlp,nlp,coursera skill,
natural language processing,nlp,nlp,coursera skill,
neo4j,databases,,"dou, coursera skill",
network analysis,data science,,coursera skill,
network theory,math,,coursera skill,
networking,se,,,
networking experience,se,networking,,
networking understanding,se,networking,,
neural,deep learninig,neural networking,,
neural networking,deep learninig,,,
neuroimaging,domain,,coursera skill,
neuroscience,domain,,coursera skill,
next.js,se,,,
nifi,se,apache,,
nifi apache,se,apache,,
nlp,nlp,,,
nltk,nlp,,,
nn,deep learninig,neural networking,,
nodejs,se,node js,,
nontrivial problems,soft skills,,,
nosql,databases,,"dou, coursera skill",
npm,se,node js,,
npm package,se,node js,,
numerical analysis,data analytics,,,
numpy,data science,,"dou, coursera skill",
nunit,,,,
nunitsolid,,nunit,,
object detection,cv,,coursera skill,
object-oriented programming,se,,coursera skill,
objective c,se,,,
ocean iot,se,,,
octave,se,,,
octave r,se,,,
omniture,,,,
onseo,se,,,
ontology,data science,,coursera skill,
vanilla,se,,,
ood,,,,
oop,se,,,
open source,,,"dou, coursera skill",
opencv,cv,,"dou, coursera skill",
optimising,data science,,,
optimising accuracy,data science,optimising,,
optimization experience,se,,,
oracle,se,,"dou, coursera skill",
oral communications,soft skills,,,
orchestration,se,,,
organizational communications,se,communications,,
os,se,,,
outsourcing,se,,,
outstaffing,se,,,
ownership product,management,,,
ownership responsible,management,,,
p-value,math,,coursera skill,
paced deadline,soft skills,,,
pagerank,data science,,coursera skill,
pandas,data science,,"dou, coursera skill",
pandemic,domain,pandemics,coursera skill,
papers,data science,,,
papers ability,data science,papers,,
parallel,se,parallel computing,,
parallel computing,se,,,
part-of-speech tagging,nlp,,coursera skill,
pattern recognition,cv,,coursera skill,
payment,domain,,,
peer review,soft skills,,coursera skill,
peering,soft skills,,coursera skill,
pentaho,,,,
periscope,,,,
pgsql,databases,,,
